branch_ch,n_bcp,tt,ch_in_tt,module,type,iphi,ieta,high_over_low_gain_ratio,intercalib_factor
305,1,3,6,3,ecal,1,49,8.5032,1
306,1,3,7,3,ecal,2,49,8.3427,1
307,1,3,8,3,ecal,3,49,8.4949,1
308,1,3,9,3,ecal,4,49,8.3588,1
309,1,3,10,3,ecal,5,49,8.4577,1
310,1,3,11,3,ecal,5,48,8.6058,1
311,1,3,12,3,ecal,4,48,8.437,1
312,1,3,13,3,ecal,3,48,8.5359,1
313,1,3,14,3,ecal,2,48,8.3957,1
314,1,3,15,3,ecal,1,48,8.4677,1
315,1,3,16,3,ecal,1,47,8.5334,1
316,1,3,17,3,ecal,2,47,8.3684,1
317,1,3,18,3,ecal,3,47,8.4506,1
318,1,3,19,3,ecal,4,47,8.3776,1
319,1,3,20,3,ecal,5,47,8.4425,1
320,1,3,21,3,ecal,5,46,8.3758,1
321,1,3,22,3,ecal,4,46,8.2551,1
322,1,3,23,3,ecal,3,46,8.4021,1
323,1,3,24,3,ecal,2,46,8.5009,1
324,1,3,25,3,ecal,1,46,8.5012,1
325,1,4,1,3,ecal,10,50,8.3722,1
326,1,4,2,3,ecal,9,50,8.3068,1
327,1,4,3,3,ecal,8,50,8.3654,1
328,1,4,4,3,ecal,7,50,8.4281,1
329,1,4,5,3,ecal,6,50,8.4514,1
330,1,4,6,3,ecal,6,49,8.2742,1
331,1,4,7,3,ecal,7,49,8.3578,1
332,1,4,8,3,ecal,8,49,8.4639,1
333,1,4,9,3,ecal,9,49,8.4108,1
334,1,4,10,3,ecal,10,49,8.486,1
335,1,4,11,3,ecal,10,48,8.337,1
336,1,4,12,3,ecal,9,48,8.2603,1
337,1,4,13,3,ecal,8,48,8.4188,1
338,1,4,14,3,ecal,7,48,8.5562,1
339,1,4,15,3,ecal,6,48,8.2673,1
340,1,4,16,3,ecal,6,47,8.4047,1
341,1,4,17,3,ecal,7,47,8.2992,1
342,1,4,18,3,ecal,8,47,8.3943,1
343,1,4,19,3,ecal,9,47,8.3275,1
344,1,4,20,3,ecal,10,47,8.3038,1
345,1,4,21,3,ecal,10,46,8.587,1
346,1,4,22,3,ecal,9,46,8.3846,1
347,1,4,23,3,ecal,8,46,8.4128,1
348,1,4,24,3,ecal,7,46,8.309,1
349,1,4,25,3,ecal,6,46,8.4692,1
350,1,5,1,3,ecal,5,55,8.4112,1
351,1,5,2,3,ecal,4,55,8.5657,1
352,1,5,3,3,ecal,3,55,8.4349,1
353,1,5,4,3,ecal,2,55,8.5749,1
354,1,5,5,3,ecal,1,55,8.5727,1
355,1,5,6,3,ecal,1,54,8.4601,1
356,1,5,7,3,ecal,2,54,8.5551,1
357,1,5,8,3,ecal,3,54,8.3621,1
358,1,5,9,3,ecal,4,54,8.4751,1
359,1,5,10,3,ecal,5,54,8.3975,1
360,1,5,11,3,ecal,5,53,8.4097,1
361,1,5,12,3,ecal,4,53,8.5937,1
362,1,5,13,3,ecal,3,53,8.4634,1
363,1,5,14,3,ecal,2,53,8.515,1
364,1,5,15,3,ecal,1,53,8.4934,1
365,1,5,16,3,ecal,1,52,8.4963,1
366,1,5,17,3,ecal,2,52,8.5862,1
367,1,5,18,3,ecal,3,52,8.5669,1
368,1,5,19,3,ecal,4,52,8.3591,1
369,1,5,20,3,ecal,5,52,8.5622,1
370,1,5,21,3,ecal,5,51,8.4865,1
371,1,5,22,3,ecal,4,51,8.5537,1
372,1,5,23,3,ecal,3,51,8.4688,1
373,1,5,24,3,ecal,2,51,8.4542,1
374,1,5,25,3,ecal,1,51,8.608,1
375,1,6,1,1,ecal,6,56,8.4979,1
376,1,6,2,1,ecal,7,56,8.5276,1
377,1,6,3,1,ecal,8,56,8.5458,1
378,1,6,4,1,ecal,9,56,8.5377,1
379,1,6,5,1,ecal,10,56,8.6131,1
380,1,6,6,1,ecal,10,57,8.5006,1
381,1,6,7,1,ecal,9,57,8.5131,1
382,1,6,8,1,ecal,8,57,8.5667,1
383,1,6,9,1,ecal,7,57,8.5023,1
384,1,6,10,1,ecal,6,57,8.3596,1
385,1,6,11,1,ecal,6,58,8.384,1
386,1,6,12,1,ecal,7,58,8.4721,1
387,1,6,13,1,ecal,8,58,8.5462,1
388,1,6,14,1,ecal,9,58,8.3432,1
389,1,6,15,1,ecal,10,58,8.5201,1
390,1,6,16,1,ecal,10,59,8.5046,1
391,1,6,17,1,ecal,9,59,8.4973,1
392,1,6,18,1,ecal,8,59,8.462,1
393,1,6,19,1,ecal,7,59,8.5828,1
394,1,6,20,1,ecal,6,59,8.5586,1
395,1,6,21,1,ecal,6,60,8.4502,1
396,1,6,22,1,ecal,7,60,8.3994,1
397,1,6,23,1,ecal,8,60,8.6443,1
398,1,6,24,1,ecal,9,60,8.567,1
399,1,6,25,1,ecal,10,60,8.527,1
400,1,7,1,-1,unused,-1,-1,12,1
